name,role,death_season,death_episode,execution,likelihoodOfReturn,likelihoodOfReturn_notes,deathFlashback
Rodrik Cassel,"Master-at-Arms at Winterfell, Servant of House Stark",2,6,Decapitated by Theon Greyjoy,0%,,
Irri,Dothraki handmaiden to Daenerys Targaryen,2,7,Murdered during Xaro Xhoan Daxos theft of the dragons at Qarth,0%,,
Maester Luwin,Maester of Winterfell,2,10,Osha ends his suffering after he is stabbed with a spear by ironborn raider Dagmer,0%,,
Qhorin,Nights Watch ranger,2,10,Killed by Jon Snow (at Qhorins own behest) in order to trick the Wildlings into thinking Jon has left the Nights Watch,0%,,
Pyat Pree,"Warlock from Qarth, Member of the Thirteen",2,10,Burned alive by Daenerys Targaryens dragons,0%,,
Doreah,Handmaiden to Daenerys Targaryen,2,10,Locked with Xaro Xhoan Daxos inside a Valyrian stone vault by Jorah Mormont at the order of Daenerys Targaryen,1%,We didnt actually see her die,
Xaro Xhoan Daxos,Merchant in Qarth,2,10,Locked in a Valyrian stone vault by Jorah Mormont on the orders of Daenerys Targaryen,1%, we didnt actually see him die,
Hoster Tully,"Lord of Riverrun, Father of Edmure Tully, Catelyn Stark and Lysa Arryn",3,3,Illness,0%,,
Jeor Mormont,Lord Commander of the Nights Watch,3,4,Stabbed to death by Nights Watchman Rast during a mutiny,0%,,
Craster,A Wildling who lived with his daughter-wives beyond the Wall,3,4,"Killed by Karl Tanner, a Nights Watchman",0%,,
Kraznys,Salve-trader in Slavers Bay and one of the Good Masters,3,4,Burned alive by Drogon after he tries to trade the Unsullied for the dragon and insults Daenerys,0%,,
Beric Dondarrion,Leader of Brotherhood Without Banners,3,5,Killed by the Hound in trial by combat,100%,Hes already back! Thoros of Myr has resuscitated Dondarrion six times via prayers to the Lord of Light,
Ros,Prostitute in Littlefingers brothel and spy for Varys,3,6,Shot by Joffrey Baratheon with a crossbow,0%,,
Talisa Stark,Wife of Robb Stark,3,9,Stabbed in the stomach while pregnant by Lothar Frey at the Red Wedding,0%,,
Robb Stark,"King of the North, son of Lord Eddard Stark and Lady Catelyn of Winterfell",3,9,Shot by a Frey crossbowman and then stabbed through the heart by Roose Bolton at the Red Wedding,0%,,
Catelyn Stark,"Wife of Eddard Stark, Mother of Robb, Sansa, Arya, Bran and Rickon",3,9,Throat slit by Black Walder Rivers at the Red Wedding,0%,,
Polliver,Man-at-arms for House Lannister,4,1,Stabbed in the throat by Arya Stark,0%,,
Tansy,Servant of House Bolton,4,2,Hunted down by Ramsay Snow and eaten by his dogs,0%,,
Joffrey Baratheon,Lord of the Seven Kingdoms,4,2,Poisoned at the Purple Wedding by Olenna Tyrell and Littlefinger,0%,,
Karl Tanner,"Brother of the Nights Watch, leader of the mutiny at Crasters Keep",4,5,Impaled by Jon Snow during the raid on Crasters Keep,0%,,
Locke,Man-at-arms for House Bolton,4,5,Neck snapped by Bran Stark while Bran is warging into Hodor,0%,,
Rast,Ranger in the Nights Watch,4,5,"Ripped apart by Jons direwolf, Ghost, during the raid on Crasters Keep",0%,,
Lysa Arryn,"Lady Regent of the Vale, sister to Catelyn Stark, briefly the wife of Littlefinger",4,7,Pushed out of the Moon Door by Littlefinger,0%,,
Oberyn Martell,Prince of the House Martell,4,8,Skull crushed by the Mountain in a trial by combat,0%,,
The Mountain,"Knight and Head of House Clegane, loyal to House Lannister",4,8,Poisoned by the spear of Oberyn Martell in a trial by combat,100%,Reanimated by Qyburn,
Grenn,Ranger in the Nights Watch,4,9,Killed fighting the giant Mag the Mighty in the Battle of Castle Black,0%,,
Mag the Mighty,Giant fighting in Mance Rayders army,4,9,Killed by Grenn and five other members of the Nights Watch in the Battle of Castle Black,0%,,
Pyp,Brother of the Nights Watch,4,9,Shot through the neck with an arrow by Ygritte during the Battle of Castle Black,0%,,
Styr,Thenn fighting in Mance Rayders army,4,9,Bludgeoned in the head with a hammer by Jon Snow during the Battle of Castle Black,0%,,
Ygritte,Soldier in Mance Rayders army and Jon Snows lover,4,9,Shot with an arrow by Olly in the Battle of Castle Black,0%,,
Jojen Reed,"Warg, brother of Meera Reed, traveling companion of Bran Stark",4,10,Mercy killed by Meera after being stabbed multiple times by a wight; burned by a fireball thrown by â€œthe Childrenâ€ù,30%, Could Jojen have warged into someone or something before he died?,
Shae,Prostitute and girlfriend of Tyrion Lannister,4,10,Strangled to death by Tyrion Lannister,0%,,
Tywin Lannister,"Head of House Lannister, Lord of Casterly Rock, father of Cersei, Jaime and Tyrion Lannister",4,10,Shot on the toilet by Tyrion with a crossbow,0%,,
Mance Rayder,Leader of the Free Folk,5,1,Shot with a mercy arrow by Jon Snow before hes burned alive,0%,,
Janos Slynt,"Former commander of the City Watch in Kings Landing, exiled to Nights Watch by Tyrion Lannister",5,3,Beheaded for insubordination by Jon Snow,0%,,
Barristan Selmy,"Former member of the Kingsguard, advisor of Daenerys Targaryen",5,4,Killed fighting the Sons of the Harpy in Meereen,0%,,
Maester Aemon,Maester at Castle Black,5,7,Dies of old age,0%,,
Karsi,Chieftainess of the Ice-river clans,5,8,Mauled to death by Wights,100%,We see her become a wight,
Shireen Baratheon,Daughter of Stannis and Selyse Baratheon,5,9,Burned alive as a sacrifice to the Lord of Light by Melisandre at the order of Stannis Baratheon,0%,,
Hizdahr zo Loraq,"Scion of the House Loraq, former slave trader, husband of Daenerys Targaryen",5,9,Stabbed to death by the Sons of the Harpy,0%,,
Selyse Baratheon,Wife of Stannis Baratheon,5,10,Hangs herself following the death of her daughter,0%,,
Stannis Baratheon,"Lord of Dragonstone, brother of Robert and Renly Baratheon, claimant to the Iron Throne",5,10,Executed by Brienne of Tarth,50%,We dont actually see Brienne kill Stannis,
Myranda,Servant of House Bolton and Ramsay Snows lover,5,10,Pushed off a ledge by Theon Grejoy,0%,,
Meryn Trant,Knight in the Kingsguard,5,10,Blinded and stabbed before having his throat slit by Arya Stark,0%,,
Myrcella Baratheon,"Daughter of Cersei Lannister and Jaime Lannister, sister to King Tommen Baratheon",5,10,Poisoned with a kiss by Ellaria Sand with the help of the Sand Snakes,0%,,
Jon Snow,"Commander of the Nights Watch, bastard son of Eddard Stark (or maybe not)",5,10,"Stabbed by Nights Watch mutineers, including Alliser Thorne and Olly",100%, Resurrected by Melisandre,
Areo Hotah,Captain of the Guard for the Martells,6,1,"Stabbed in the back by Tyene, one of the Sand Snakes",0%,,
Doran Martell,Prince of Dorne,6,1,Stabbed in the chest by Ellaria Sand,0%,,
Trystane Martell,"Prince of Dorne, betrothed to Myrcella",6,1,"Impaled through the back of the head by Obara, one of the Sand Snakes",0%,,
The Flasher,Man who flashes Cersei Lannister during her walk of atonement,6,2,"Head smashed against a wall by Gregor Clegane, a.k.a The Mountain",0%,,
Roose Bolton,"Lord of the Dreadfort, Warden of the North",6,2,"Stabbed in the chest by his own son, Ramsay Bolton",0%,,
Walda Bolton,"Wife to Roose Bolton, granddaughter of Walder Frey",6,2,Mauled to death by Ramsay Boltons dogs,0%,,
Unnamed Bolton Child,Child of Roose and Walda Bolton,6,2,Mauled to death by Ramsay Boltons dogs,0%,,
Balon Greyjoy,Lord of the Iron Islands,6,2,"Thrown from a bridge by his brother, Euron Greyjoy",0%,,
Alliser Thorne,Acting Lord Commander of the Nights Watch,6,3,Hanged for treason by Jon Snow,0%,,
Olly,Steward of the Nights Watch,6,3,Hanged for treason by Jon Snow,0%,,
Ser Arthur Dayne,Member of the Kingsguard of King Aerys II Targaryen,6,3,Stabbed in the back by Howland Reed and partially decapitated by Ned Stark,0%,,TRUE
Osha,Wildling loyal to Rickon Stark,6,4,Stabbed in the neck by Ramsay Bolton,0%,,
Khal Moro,Khal who presides over khalar vezhven,6,4,Burned alive along with the other khals by Daenerys Targaryen,0%,,
Three-Eyed Raven,Sorcerer and Brans mentor ,6,5,Killed by the Night King,25%,"Yes, his body is gone, but with time travel in play Bran could be seeing him again",
Leaf,Child of the Forest ,6,5,Committed suicide with explosive device when attacked by Wights to save Bran,0%,,
Hodor,Servant to the House Stark,6,5,Torn apart by Wights,0%,,
"Aerys II Targaryen, â€œThe Mad Kingâ€ù",Lord of the Seven Kingdoms,6,6,Stabbed in the back by Jaime Lannister,0%,,TRUE
Brother Ray,Faith of the Seven Septon,6,7,Hanged by rogue members of the Brotherhood Without Banners,0%,,
Lem,Member of Brotherhood Without Banners,6,8,Hanged by the Hound,0%,,
Brynden Tully (The Blackfish),Lord of Riverrun,6,8,Killed defending Riverrun,50%, We dont actually see the Blackfish killed,
Lady Crane,Actress in Braavos,6,8,Throat slit by the Waif,0%,,
The Waif,Acolyte of the Faceless Men,6,8,Killed by Arya Stark,0%,,
Razdal mo Eraz,Wise Master,6,9,Throat cut by Grey Worm,0%,,
Belicho Paenymion,Volantis Nobleman,6,9,Throat cut by Grey Worm,0%,,
Rickon Stark,Lord of House Stark,6,9,Shot with an arrow in the back by Ramsay Bolton,0%,,
Jon Umber,Lord of House Umber,6,9,Throat torn out and head stabbed by Tormund,0%,,
Wun Weg Wun Dar Wun,Giant in Wildling army,6,9,Shot through the eye by Ramsay Bolton,0%,,
Ramsay Bolton,Warden of the North,6,9,Eaten alive by his hounds on the order of Sansa Stark,0%,,
Grand Maester Pycelle,Grand Maester in Kings Landing,6,10,Stabbed by one of Quburns little birds,0%,,
Lancel,A brother with the Sparrows,6,10,"Stabbed by one of Qyburns little birds, blown up by wildfire",0%,,
The High Sparrow,High Septon,6,10,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,
Loras Tyrell,Former Lord Commander,6,10,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,
Mace Tyrell,"Lord of Highgarden, Warden of the South",6,10,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,
Kevan Lannister,Hand of the King,6,10,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,
Margaery Tyrell,Queen of the Seven Kingdoms,6,10,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,
Tommen Baratheon,Lord of the Seven Kingdoms,6,10,Committed suicide by jumping from a window following Maergerys death by wildfire as orchestrated by Cersei,0%,,
Walder Rivers,Bastard son of Walder Frey,6,10,Killed and baked in a pie by Arya Stark,0%,,
Lothar Frey,Son of Walder Frey,6,10,Killed and baked into a pie by Arya Stark,0%,,
Walder Frey,"Lord of the Crossing, Lord of Riverrun",6,10,Throat slit by Arya Stark,0%,,
Lyanna Stark,"Sister of Eddard Stark, Mother of Jon Snow",6,10,Died after giving birth to Jon Snow during Roberts Rebellion,0%,,
